Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
M6IN Eight Extra Large,m6in.8xlarge,128 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,50 Gigabit,$2.8642 hourly,$3.2098 hourly,$2.1500 hourly,$4.3362 hourly,$3.2764 hourly
M6IN 24xlarge,m6in.24xlarge,384 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,150 Gigabit,$8.5925 hourly,$9.6293 hourly,$6.4501 hourly,$13.0085 hourly,$9.8293 hourly
R5DN Metal,r5dn.metal,768 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),3600 GB (4×900 GB NVMe SSD),100 Gigabit,$9.7440 hourly,$12.1248 hourly,$8.5195 hourly,$14.1600 hourly,$10.5550 hourly
I4I 32xlarge,i4i.32xlarge,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),30000 GB (8×3750 GB NVMe SSD),75 Gigabit,$12.8832 hourly,$15.4560 hourly,$10.9659 hourly,$18.7712 hourly,$14.2811 hourly
C5AD 12xlarge,c5ad.12xlarge,96 GiB,48 vCPUs,AMD EPYC 7R32,1800 GB (2×900 GB NVMe SSD),12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7IZ Metal-32xl,r7iz.metal-32xl,1024 GiB,128 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,50 Gigabit,$14.5280 hourly,$17.1008 hourly,$11.7254 hourly,$20.4160 hourly,$15.0406 hourly
M5DN Metal,m5dn.metal,384 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),3600 GB (4×900 GB NVMe SSD),100 Gigabit,$8.4000 hourly,$9.4370 hourly,$6.3290 hourly,$12.8160 hourly,$9.7080 hourly
R6GD Eight Extra Large,r6gd.8xlarge,256 GiB,32 vCPUs,AWS Graviton2 Processor,1900 GB NVMe SSD,12 Gigabit,$2.2240 hourly,$2.5696 hourly,$1.7568 hourly,unavailable,unavailable
M5 General Purpose Metal,m5.metal,384 GiB,96 vCPUs,Intel Xeon Platinum 8175,EBS only,25 Gigabit,$5.9520 hourly,$8.3330 hourly,$6.1310 hourly,$10.3680 hourly,$8.1660 hourly
C4 High-CPU Eight Extra Large,c4.8xlarge,60 GiB,36 vCPUs,Intel Xeon E5-2666 v3 (Haswell),EBS only,10 Gigabit,$2.0160 hourly,$2.9090 hourly,$2.3380 hourly,$3.6720 hourly,$3.1010 hourly
C7I 24xlarge,c7i.24xlarge,192 GiB,96 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,37.5 Gigabit,$5.3928 hourly,$7.7736 hourly,$5.9370 hourly,$9.8088 hourly,$7.9722 hourly
M6IDN 16xlarge,m6idn.16xlarge,256 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$6.5520 hourly,$7.2432 hourly,$4.8190 hourly,$9.4960 hourly,$7.0718 hourly
C5AD 16xlarge,c5ad.16xlarge,128 GiB,64 vCPUs,AMD EPYC 7R32,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
U-9TB1 112xlarge,u-9tb1.112xlarge,9216 GiB,448 vCPUs,Intel Xeon Scalable (Skylake),EBS only,100 Gigabit,$98.8000 hourly,$107.8048 hourly,unavailable,$119.4080 hourly,unavailable
M5N Extra Large,m5n.xlarge,16 GiB,4 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 25 Gigabit,$0.3060 hourly,$0.3640 hourly,$0.2500 hourly,$0.4900 hourly,$0.3770 hourly
X1E Quadruple Extra Large,x1e.4xlarge,488 GiB,16 vCPUs,High Frequency Intel Xeon E7-8880 v3 (Haswell),480 GB SSD,Up to 10 Gigabit,$4.8360 hourly,$5.0090 hourly,$3.1530 hourly,$5.5720 hourly,$3.7160 hourly
C6I Quadruple Extra Large,c6i.4xlarge,32 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.8560 hourly,$1.2528 hourly,$0.9613 hourly,$1.5920 hourly,$1.3005 hourly
C6A Double Extra Large,c6a.2xlarge,16 GiB,8 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.3852 hourly,$0.5004 hourly,$0.3692 hourly,$0.7532 hourly,$0.6220 hourly
R7GD 12xlarge,r7gd.12xlarge,384 GiB,48 vCPUs,AWS Graviton3 Processor,2850 GB (2×1425 GB NVMe SSD),22.5 Gigabit,$3.9463 hourly,$4.4647 hourly,$3.0046 hourly,unavailable,unavailable
C5 High-CPU Extra Large,c5d.xlarge,8 GiB,4 vCPUs,Intel Xeon Platinum 8124M,100 GB NVMe SSD,Up to 10 Gigabit,$0.2440 hourly,$0.3020 hourly,$0.2110 hourly,$0.4280 hourly,$0.3380 hourly
M6GD Eight Extra Large,m6gd.8xlarge,128 GiB,32 vCPUs,AWS Graviton2 Processor,1900 GB NVMe SSD,12 Gigabit,$1.8720 hourly,$2.6656 hourly,$1.9696 hourly,unavailable,unavailable
TRN1 32xlarge,trn1.32xlarge,512 GiB,128 vCPUs,Intel Xeon Scalable (Icelake),7600 GB (4×1900 GB NVMe SSD),8x 100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X1 Extra High-Memory 32xlarge,x1.32xlarge,1952 GiB,128 vCPUs,High Frequency Intel Xeon E7-8880 v3 (Haswell),3840 GB (2×1920 GB SSD),25 Gigabit,$19.3410 hourly,$20.5710 hourly,$13.1460 hourly,$25.2290 hourly,$17.8060 hourly
G4DN Extra Large,g4dn.xlarge,16 GiB,4 vCPUs,Intel Xeon Family,125 GB NVMe SSD,Up to 25 Gigabit,$0.7100 hourly,$0.8380 hourly,$0.6120 hourly,$0.8940 hourly,$0.6690 hourly
G3 Graphics GPU 16xlarge,g3.16xlarge,488 GiB,64 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,20 Gigabit,$6.3200 hourly,$7.0112 hourly,unavailable,$9.2640 hourly,unavailable
C7A 48xlarge,c7a.48xlarge,384 GiB,192 vCPUs,AMD EPYC 9R14 Processor,EBS only,50 Gigabit,$12.4032 hourly,$14.2464 hourly,$10.0224 hourly,$21.2352 hourly,$17.0112 hourly
M7I Double Extra Large,m7i.2xlarge,32 GiB,8 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.5208 hourly,$0.7760 hourly,$0.6003 hourly,$0.8888 hourly,$0.7131 hourly
R5D Metal,r5d.metal,768 GiB,96 vCPUs,Intel Xeon Platinum 8175,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$8.3520 hourly,$9.3890 hourly,$6.2990 hourly,$12.7680 hourly,$9.6780 hourly
R8G 16xlarge,r8g.16xlarge,512 GiB,64 vCPUs,AWS Graviton4 Processor,EBS only,30 Gigabit,$4.5478 hourly,$6.1350 hourly,$4.5956 hourly,unavailable,unavailable
C7GD 16xlarge,c7gd.16xlarge,128 GiB,64 vCPUs,AWS Graviton3 Processor,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$3.6896 hourly,$4.3808 hourly,$3.1203 hourly,unavailable,unavailable
R6G Large,r6g.large,16 GiB,2 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.1216 hourly,$0.1504 hourly,$0.1054 hourly,unavailable,unavailable
R8GD Large,r8gd.large,16 GiB,2 vCPUs,AWS Graviton4 Processor,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1776 hourly,$0.2414 hourly,unavailable,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,AWS Graviton Processor,EBS only,Up to 10 Gigabit,$0.5136 hourly,$0.9104 hourly,$0.7204 hourly,unavailable,unavailable
