Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
T3 Micro,t3.micro,1 GiB,2 vCPUs (2h 24m burst),Intel Skylake E5 2686 v5,EBS only,Up to 5 Gigabit,$0.0136 hourly,$0.0424 hourly,$0.0374 hourly,$0.0228 hourly,$0.0178 hourly
Z1D Metal,z1d.metal,384 GiB,48 vCPUs,Intel Xeon Platinum 8151,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$5.4480 hourly,$5.9660 hourly,$3.9510 hourly,$7.6560 hourly,$5.6400 hourly
X2GD 16xlarge,x2gd.16xlarge,1024 GiB,64 vCPUs,AWS Graviton2 Processor,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8G Eight Extra Large,c8g.8xlarge,64 GiB,32 vCPUs,AWS Graviton4 Processor,EBS only,15 Gigabit,$1.6010 hourly,$1.9466 hourly,$1.4013 hourly,unavailable,unavailable
R6GD 16xlarge,r6gd.16xlarge,512 GiB,64 vCPUs,AWS Graviton2 Processor,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$4.4480 hourly,$5.1392 hourly,$3.5135 hourly,unavailable,unavailable
M5N Quadruple Extra Large,m5n.4xlarge,64 GiB,16 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 25 Gigabit,$1.2240 hourly,$1.3970 hourly,$0.9440 hourly,$1.9600 hourly,$1.5070 hourly
G6 Graphics and Machine Learning GPU 16xlarge,g6.16xlarge,256 GiB,64 vCPUs,AMD EPYC 7R13 Processor,1880 GB (2×940 GB NVMe SSD),25 Gigabit,$4.9264 hourly,$5.6176 hourly,$3.8983 hourly,$7.8704 hourly,$6.1511 hourly
M8G 12xlarge,m8g.12xlarge,192 GiB,48 vCPUs,AWS Graviton4 Processor,EBS only,22.5 Gigabit,$2.7826 hourly,$3.3010 hourly,$2.3620 hourly,unavailable,unavailable
M8G 48xlarge,m8g.48xlarge,768 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,$11.1302 hourly,$14.9894 hourly,$11.2335 hourly,unavailable,unavailable
M8GD Extra Large,m8gd.xlarge,16 GiB,4 vCPUs,AWS Graviton4 Processor,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2980 hourly,$0.4256 hourly,unavailable,unavailable,unavailable
D2 Eight Extra Large,d2.8xlarge,244 GiB,36 vCPUs,Intel Xeon E5-2676 v3 (Haswell),49152 GB (24×2048 GB HDD),10 Gigabit,$6.7520 hourly,$7.6450 hourly,$4.7210 hourly,$7.4300 hourly,$4.3110 hourly
M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,64 GiB,16 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.9895 hourly,$1.3863 hourly,$1.0524 hourly,$1.6887 hourly,$1.3548 hourly
C6G 16xlarge,c6g.16xlarge,128 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$2.7392 hourly,$4.3264 hourly,$3.3129 hourly,unavailable,unavailable
I2 Extra Large,i2.xlarge,30.5 GiB,4 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge),800 GB SSD,Moderate,$1.0010 hourly,$1.0590 hourly,$0.6170 hourly,$1.1130 hourly,$0.8290 hourly
R7GD Eight Extra Large,r7gd.8xlarge,256 GiB,32 vCPUs,AWS Graviton3 Processor,1900 GB NVMe SSD,15 Gigabit,$2.6309 hourly,$3.4245 hourly,$2.4511 hourly,unavailable,unavailable
M7I-FLEX 12xlarge,m7i-flex.12xlarge,192 GiB,48 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 18.75 Gigabit,$2.9686 hourly,$4.1590 hourly,$3.1573 hourly,$5.1766 hourly,$4.1749 hourly
I4G Extra Large,i4g.xlarge,32 GiB,4 vCPUs,AWS Graviton2 Processor,937 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8G Large,c8g.large,4 GiB,2 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.1001 hourly,$0.1289 hourly,$0.0948 hourly,unavailable,unavailable
C8G 24xlarge,c8g.24xlarge,192 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,40 Gigabit,$4.8029 hourly,$7.1837 hourly,$5.5478 hourly,unavailable,unavailable
M7G Eight Extra Large,m7g.8xlarge,128 GiB,32 vCPUs,AWS Graviton3 Processor,EBS only,15 Gigabit,$1.6864 hourly,$2.0320 hourly,$1.4629 hourly,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,AWS Graviton Processor,EBS only,Up to 10 Gigabit,$0.1284 hourly,$0.2560 hourly,$0.2085 hourly,unavailable,unavailable
M8GD Large,m8gd.large,8 GiB,2 vCPUs,AWS Graviton4 Processor,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1490 hourly,$0.2128 hourly,unavailable,unavailable,unavailable
I4I 24xlarge,i4i.24xlarge,768 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),22500 GB (6×3750 GB NVMe SSD),56.25 Gigabit,$9.6624 hourly,$12.0432 hourly,$8.6756 hourly,$14.0784 hourly,$10.7108 hourly
C7G Large,c7g.large,4 GiB,2 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.0910 hourly,$0.1198 hourly,$0.0888 hourly,unavailable,unavailable
X2IEDN Eight Extra Large,x2iedn.8xlarge,1024 GiB,32 vCPUs,Intel Xeon Scalable (Icelake),950 GB NVMe SSD,25 Gigabit,$9.6705 hourly,$10.4641 hourly,$6.7439 hourly,$11.1425 hourly,$7.4223 hourly
G4AD Eight Extra Large,g4ad.8xlarge,128 GiB,32 vCPUs,AMD EPYC 7R32,1200 GB NVMe SSD,15 Gigabit,$2.3400 hourly,$2.6856 hourly,$1.9427 hourly,$3.8120 hourly,$3.0692 hourly
INF2 Eight Extra Large,inf2.8xlarge,128 GiB,32 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 25 Gigabit,$2.9518 hourly,$3.2974 hourly,$2.2052 hourly,unavailable,unavailable
M4 General Purpose 16xlarge,m4.16xlarge,256 GiB,64 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,25 Gigabit,$4.1280 hourly,$4.8192 hourly,$3.4800 hourly,$7.0720 hourly,$5.7328 hourly
R6G Eight Extra Large,r6g.8xlarge,256 GiB,32 vCPUs,AWS Graviton2 Processor,EBS only,12 Gigabit,$1.9456 hourly,$2.7392 hourly,$2.0193 hourly,unavailable,unavailable
C7G Extra Large,c7g.xlarge,8 GiB,4 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.1819 hourly,$0.2395 hourly,$0.1776 hourly,unavailable,unavailable
R7G Large,r7g.large,16 GiB,2 vCPUs,AWS Graviton3 Processor,EBS only,Up to 12.5 Gigabit,$0.1292 hourly,$0.1580 hourly,$0.1143 hourly,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,AWS Graviton Processor,EBS only,Up to 10 Gigabit,$0.0642 hourly,$0.0930 hourly,$0.0692 hourly,unavailable,unavailable
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,32 GiB,8 vCPUs,AMD EPYC 7R32,450 GB NVMe SSD,Up to 10 Gigabit,$1.7578 hourly,$1.8730 hourly,$1.2226 hourly,$2.1258 hourly,$1.4754 hourly
Z1D Extra Large,z1d.xlarge,32 GiB,4 vCPUs,Intel Xeon Platinum 8151,150 GB NVMe SSD,Up to 10 Gigabit,$0.4540 hourly,$0.5120 hourly,$0.3440 hourly,$0.6380 hourly,$0.4700 hourly
I3 High I/O Large,i3.large,15.25 GiB,2 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),475 GB NVMe SSD,Up to 10 Gigabit,$0.1830 hourly,$0.2120 hourly,$0.1530 hourly,$0.2750 hourly,$0.2160 hourly
R8G Eight Extra Large,r8g.8xlarge,256 GiB,32 vCPUs,AWS Graviton4 Processor,EBS only,15 Gigabit,$2.2739 hourly,$3.0675 hourly,$2.2978 hourly,unavailable,unavailable
C8GD 48xlarge,c8gd.48xlarge,384 GiB,192 vCPUs,AWS Graviton4 Processor,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$11.9539 hourly,$13.7971 hourly,unavailable,unavailable,unavailable
M8GD Eight Extra Large,m8gd.8xlarge,128 GiB,32 vCPUs,AWS Graviton4 Processor,1900 GB NVMe SSD,15 Gigabit,$2.3840 hourly,$2.7296 hourly,unavailable,unavailable,unavailable
G6e Graphics and Machine Learning GPU 16xlarge,g6e.16xlarge,512 GiB,64 vCPUs,AMD EPYC 7R13 Processor,1900 GB (2×950 GB NVMe SSD),35 Gigabit,$10.9892 hourly,$12.5764 hourly,$8.5104 hourly,$13.9332 hourly,$9.8672 hourly
I7IE 48xlarge,i7ie.48xlarge,1536 GiB,192 vCPUs,Intel Xeon Scalable (Emerald Rapids),120000 GB (16×7500 GB NVMe SSD),100 Gigabit,$29.3664 hourly,$31.2096 hourly,unavailable,$38.1984 hourly,unavailable
R6IN Large,r6in.large,16 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 25 Gigabit,$0.2118 hourly,$0.2406 hourly,$0.1622 hourly,$0.3038 hourly,$0.2254 hourly
M6G Eight Extra Large,m6g.8xlarge,128 GiB,32 vCPUs,AWS Graviton2 Processor,EBS only,12 Gigabit,$1.5840 hourly,$1.9296 hourly,$1.3535 hourly,unavailable,unavailable
M6GD Large,m6gd.large,8 GiB,2 vCPUs,AWS Graviton2 Processor,118 GB NVMe SSD,Up to 10 Gigabit,$0.1170 hourly,$0.1808 hourly,$0.1373 hourly,unavailable,unavailable
M7GD Eight Extra Large,m7gd.8xlarge,128 GiB,32 vCPUs,AWS Graviton3 Processor,1900 GB NVMe SSD,15 Gigabit,$2.2075 hourly,$2.5531 hourly,$1.7363 hourly,unavailable,unavailable
R4 High-Memory Extra Large,r4.xlarge,30.5 GiB,4 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,Up to 10 Gigabit,$0.3200 hourly,$0.3776 hourly,$0.2592 hourly,$0.5040 hourly,$0.3856 hourly
R8GD Double Extra Large,r8gd.2xlarge,64 GiB,8 vCPUs,AWS Graviton4 Processor,474 GB NVMe SSD,Up to 15 Gigabit,$0.7103 hourly,$0.8255 hourly,unavailable,unavailable,unavailable
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,128 GiB,16 vCPUs,AMD EPYC 7R32,600 GB NVMe SSD,Up to 25 Gigabit,$2.2323 hourly,$2.6291 hourly,$1.8500 hourly,$2.9683 hourly,$2.1892 hourly
C7I-FLEX Extra Large,c7i-flex.xlarge,8 GiB,4 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.2135 hourly,$0.2711 hourly,$0.1984 hourly,$0.3883 hourly,$0.3156 hourly
C6GN Double Extra Large,c6gn.2xlarge,16 GiB,8 vCPUs,AWS Graviton2 Processor,EBS only,Up to 25 Gigabit,$0.4360 hourly,$0.5512 hourly,$0.3882 hourly,unavailable,unavailable
R6G Double Extra Large,r6g.2xlarge,64 GiB,8 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.4864 hourly,$0.6016 hourly,$0.4216 hourly,unavailable,unavailable
M8GD 12xlarge,m8gd.12xlarge,192 GiB,48 vCPUs,AWS Graviton4 Processor,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,$3.5760 hourly,$4.0944 hourly,unavailable,unavailable,unavailable
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,768 GiB,192 vCPUs,AMD EPYC 7R13 Processor,7520 GB (8×940 GB NVMe SSD),100 Gigabit,$19.3621 hourly,$23.2213 hourly,$16.4639 hourly,$28.1941 hourly,$21.4367 hourly
M8GD Medium,m8gd.medium,4 GiB,1 vCPUs,AWS Graviton4 Processor,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0745 hourly,$0.1064 hourly,unavailable,unavailable,unavailable
X2GD Extra Large,x2gd.xlarge,64 GiB,4 vCPUs,AWS Graviton2 Processor,237 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
INF2 48xlarge,inf2.48xlarge,768 GiB,192 vCPUs,AMD EPYC 7R13 Processor,EBS only,100 Gigabit,$19.4719 hourly,$21.3151 hourly,$14.1105 hourly,unavailable,unavailable
HPC6A 48xlarge,hpc6a.48xlarge,384 GiB,96 vCPUs,AMD EPYC 7R13 Processor,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6G Metal,r6g.metal,512 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$3.8912 hourly,$4.5824 hourly,$3.1427 hourly,unavailable,unavailable
M8GD 24xlarge,m8gd.24xlarge,384 GiB,96 vCPUs,AWS Graviton4 Processor,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$7.1520 hourly,$8.1888 hourly,unavailable,unavailable,unavailable
R7G Eight Extra Large,r7g.8xlarge,256 GiB,32 vCPUs,AWS Graviton3 Processor,EBS only,15 Gigabit,$2.0672 hourly,$2.4128 hourly,$1.7131 hourly,unavailable,unavailable
HPC7A 48xlarge,hpc7a.48xlarge,768 GiB,96 vCPUs,AMD EPYC 9R14 Processor,EBS only,300 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6GD Large,r6gd.large,16 GiB,2 vCPUs,AWS Graviton2 Processor,118 GB NVMe SSD,Up to 10 Gigabit,$0.1390 hourly,$0.2028 hourly,$0.1520 hourly,unavailable,unavailable
C7G Double Extra Large,c7g.2xlarge,16 GiB,8 vCPUs,AWS Graviton3 Processor,EBS only,Up to 15 Gigabit,$0.3638 hourly,$0.6190 hourly,$0.4951 hourly,unavailable,unavailable
M8GD Double Extra Large,m8gd.2xlarge,32 GiB,8 vCPUs,AWS Graviton4 Processor,474 GB NVMe SSD,Up to 15 Gigabit,$0.5960 hourly,$0.8512 hourly,unavailable,unavailable,unavailable
R8G Quadruple Extra Large,r8g.4xlarge,128 GiB,16 vCPUs,AWS Graviton4 Processor,EBS only,Up to 15 Gigabit,$1.1370 hourly,$1.5338 hourly,$1.1489 hourly,unavailable,unavailable
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,16 GiB,4 vCPUs,AMD EPYC 7R32,250 GB NVMe SSD,Up to 10 Gigabit,$1.4590 hourly,$1.5866 hourly,$1.0468 hourly,$1.6430 hourly,$1.1032 hourly
T3A Nano,t3a.nano,0.5 GiB,2 vCPUs (1h 12m burst),AMD EPYC 7571,EBS only,Up to 5 Gigabit,$0.0061 hourly,unavailable,unavailable,$0.0107 hourly,$0.0085 hourly
IS4GEN Eight Extra Large,is4gen.8xlarge,192 GiB,32 vCPUs,AWS Graviton2 Processor,30000 GB (4×7500 GB NVMe SSD),50 Gigabit,$5.4264 hourly,$5.7720 hourly,$4.0502 hourly,unavailable,unavailable
R7G Double Extra Large,r7g.2xlarge,64 GiB,8 vCPUs,AWS Graviton3 Processor,EBS only,Up to 15 Gigabit,$0.5168 hourly,$0.7720 hourly,$0.5971 hourly,unavailable,unavailable
C6G Large,c6g.large,4 GiB,2 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.0856 hourly,$0.1494 hourly,$0.1177 hourly,unavailable,unavailable
C6GN Extra Large,c6gn.xlarge,8 GiB,4 vCPUs,AWS Graviton2 Processor,EBS only,Up to 25 Gigabit,$0.2180 hourly,$0.2756 hourly,$0.1941 hourly,unavailable,unavailable
C6GN 16xlarge,c6gn.16xlarge,128 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,100 Gigabit,$3.4880 hourly,$5.0752 hourly,$3.7711 hourly,unavailable,unavailable
R6GD Metal,r6gd.metal,512 GiB,64 vCPUs,AWS Graviton2 Processor,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$4.4480 hourly,$5.1392 hourly,$3.5135 hourly,unavailable,unavailable
C7GN Quadruple Extra Large,c7gn.4xlarge,32 GiB,16 vCPUs,AWS Graviton3 Processor,EBS only,50 Gigabit,$1.2592 hourly,$1.6560 hourly,$1.1835 hourly,unavailable,unavailable
C7GD Eight Extra Large,c7gd.8xlarge,64 GiB,32 vCPUs,AWS Graviton3 Processor,1900 GB NVMe SSD,15 Gigabit,$1.8448 hourly,$2.1904 hourly,$1.5601 hourly,unavailable,unavailable
C6G Metal,c6g.metal,128 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$2.7392 hourly,$4.3264 hourly,$3.3129 hourly,unavailable,unavailable
X2GD 12xlarge,x2gd.12xlarge,768 GiB,48 vCPUs,AWS Graviton2 Processor,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6GD Medium,c6gd.medium,2 GiB,1 vCPUs,AWS Graviton2 Processor,59 GB NVMe SSD,Up to 10 Gigabit,$0.0490 hourly,$0.0809 hourly,$0.0629 hourly,unavailable,unavailable
M8G Metal-24xl,m8g.metal-24xl,384 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,40 Gigabit,$5.5651 hourly,$6.6019 hourly,$4.7240 hourly,unavailable,unavailable
TRN2 48xlarge,trn2.48xlarge,2048 GiB,192 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,3200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R8G Extra Large,r8g.xlarge,32 GiB,4 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.2842 hourly,$0.4118 hourly,$0.3156 hourly,unavailable,unavailable
M6G Metal,m6g.metal,256 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$3.1680 hourly,$3.8592 hourly,$2.7070 hourly,unavailable,unavailable
X2GD Medium,x2gd.medium,16 GiB,1 vCPUs,AWS Graviton2 Processor,59 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6G 16xlarge,m6g.16xlarge,256 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$3.1680 hourly,$4.7552 hourly,$3.6030 hourly,unavailable,unavailable
IM4GN Double Extra Large,im4gn.2xlarge,32 GiB,8 vCPUs,AWS Graviton2 Processor,3750 GB NVMe SSD,Up to 25 Gigabit,$0.8535 hourly,$0.9687 hourly,$0.6647 hourly,unavailable,unavailable
C6GD Quadruple Extra Large,c6gd.4xlarge,32 GiB,16 vCPUs,AWS Graviton2 Processor,950 GB NVMe SSD,Up to 10 Gigabit,$0.7840 hourly,$1.1808 hourly,$0.8924 hourly,unavailable,unavailable
M8GD Metal-24xl,m8gd.metal-24xl,384 GiB,96 vCPUs,AWS Graviton4 Processor,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$7.1520 hourly,$9.5328 hourly,unavailable,unavailable,unavailable
TRN1 Double Extra Large,trn1.2xlarge,32 GiB,8 vCPUs,Intel Xeon Scalable (Icelake),474 GB NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I4G Double Extra Large,i4g.2xlarge,64 GiB,8 vCPUs,AWS Graviton2 Processor,1875 GB NVMe SSD,Up to 12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
INF2 24xlarge,inf2.24xlarge,384 GiB,96 vCPUs,AMD EPYC 7R13 Processor,EBS only,50 Gigabit,$9.7360 hourly,$10.7728 hourly,$7.1704 hourly,unavailable,unavailable
R8G 24xlarge,r8g.24xlarge,768 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,40 Gigabit,$6.8218 hourly,$9.2026 hourly,$6.8934 hourly,unavailable,unavailable
R6G 12xlarge,r6g.12xlarge,384 GiB,48 vCPUs,AWS Graviton2 Processor,EBS only,20 Gigabit,$2.9184 hourly,$4.1088 hourly,$3.0290 hourly,unavailable,unavailable
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,1536 GiB,192 vCPUs,AMD EPYC 7R13 Processor,7600 GB (4×1900 GB NVMe SSD),400 Gigabit,$43.6991 hourly,$47.5583 hourly,$31.3896 hourly,$52.5311 hourly,$36.3624 hourly
M7G Double Extra Large,m7g.2xlarge,32 GiB,8 vCPUs,AWS Graviton3 Processor,EBS only,Up to 15 Gigabit,$0.4216 hourly,$0.5368 hourly,$0.3945 hourly,unavailable,unavailable
TRN1N 32xlarge,trn1n.32xlarge,512 GiB,128 vCPUs,Intel Xeon Scalable (Icelake),7600 GB (4×1900 GB NVMe SSD),16x 100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
IS4GEN Large,is4gen.large,12 GiB,2 vCPUs,AWS Graviton2 Processor,1875 GB NVMe SSD,Up to 25 Gigabit,$0.3392 hourly,$0.3679 hourly,$0.2603 hourly,unavailable,unavailable
R6GD Medium,r6gd.medium,8 GiB,1 vCPUs,AWS Graviton2 Processor,59 GB NVMe SSD,Up to 10 Gigabit,$0.0695 hourly,$0.0839 hourly,$0.0585 hourly,unavailable,unavailable
M7G 12xlarge,m7g.12xlarge,192 GiB,48 vCPUs,AWS Graviton3 Processor,EBS only,22.5 Gigabit,$2.5296 hourly,$3.7200 hourly,$2.8664 hourly,unavailable,unavailable
IS4GEN Quadruple Extra Large,is4gen.4xlarge,96 GiB,16 vCPUs,AWS Graviton2 Processor,15000 GB (2×7500 GB NVMe SSD),25 Gigabit,$2.7132 hourly,$3.1100 hourly,$2.2491 hourly,unavailable,unavailable
C7G 16xlarge,c7g.16xlarge,128 GiB,64 vCPUs,AWS Graviton3 Processor,EBS only,30 Gigabit,$2.9107 hourly,$3.6019 hourly,$2.6105 hourly,unavailable,unavailable
C6G Quadruple Extra Large,c6g.4xlarge,32 GiB,16 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.6848 hourly,$0.8576 hourly,$0.6042 hourly,unavailable,unavailable
IS4GEN Extra Large,is4gen.xlarge,24 GiB,4 vCPUs,AWS Graviton2 Processor,3750 GB NVMe SSD,Up to 25 Gigabit,$0.6783 hourly,$0.7359 hourly,$0.5207 hourly,unavailable,unavailable
G4AD Quadruple Extra Large,g4ad.4xlarge,64 GiB,16 vCPUs,AMD EPYC 7R32,600 GB NVMe SSD,Up to 10 Gigabit,$1.1700 hourly,$1.3428 hourly,$0.9714 hourly,$1.9060 hourly,$1.5346 hourly
I4G Eight Extra Large,i4g.8xlarge,256 GiB,32 vCPUs,AWS Graviton2 Processor,7500 GB (2×3750 GB NVMe SSD),18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6G Double Extra Large,c6g.2xlarge,16 GiB,8 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.3424 hourly,$0.5976 hourly,$0.4709 hourly,unavailable,unavailable
IS4GEN Double Extra Large,is4gen.2xlarge,48 GiB,8 vCPUs,AWS Graviton2 Processor,7500 GB NVMe SSD,Up to 25 Gigabit,$1.3566 hourly,$1.4718 hourly,$1.0413 hourly,unavailable,unavailable
C6GD Metal,c6gd.metal,128 GiB,64 vCPUs,AWS Graviton2 Processor,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$3.1360 hourly,$3.8272 hourly,$2.6735 hourly,unavailable,unavailable
U-9TB1 Metal,u-9tb1.metal,9216 GiB,448 vCPUs,Intel Xeon Scalable (Skylake),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
U-6TB1 Metal,u-6tb1.metal,6144 GiB,448 vCPUs,Intel Xeon Scalable (Skylake),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C7GD Medium,c7gd.medium,2 GiB,1 vCPUs,AWS Graviton3 Processor,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0577 hourly,$0.0896 hourly,$0.0699 hourly,unavailable,unavailable
P2 General Purpose GPU 16xlarge,p2.16xlarge,732 GiB,64 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,20 Gigabit,$24.6720 hourly,$25.3630 hourly,unavailable,$27.6160 hourly,unavailable
C8GD 12xlarge,c8gd.12xlarge,96 GiB,48 vCPUs,AWS Graviton4 Processor,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,$2.9885 hourly,$3.5069 hourly,unavailable,unavailable,unavailable
T4G Extra Large,t4g.xlarge,16 GiB,4 vCPUs (9h 36m burst),AWS Graviton2 Processor,EBS only,Up to 5 Gigabit,$0.1728 hourly,$0.2304 hourly,$0.1664 hourly,unavailable,unavailable
T2 Nano,t2.nano,0.5 GiB,1 vCPUs (1h 12m burst),Intel Xeon Family,EBS only,Low to Moderate,$0.0076 hourly,unavailable,unavailable,$0.0099 hourly,$0.0074 hourly
C7G Metal,c7g.metal,128 GiB,64 vCPUs,AWS Graviton3 Processor,EBS only,30 Gigabit,$2.9107 hourly,$4.4979 hourly,$3.5065 hourly,unavailable,unavailable
M7GD Quadruple Extra Large,m7gd.4xlarge,64 GiB,16 vCPUs,AWS Graviton3 Processor,950 GB NVMe SSD,Up to 15 Gigabit,$1.1038 hourly,$1.5006 hourly,$1.0922 hourly,unavailable,unavailable
R8G 48xlarge,r8g.48xlarge,1536 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,$13.6435 hourly,$15.4867 hourly,$10.8684 hourly,unavailable,unavailable
I4G 16xlarge,i4g.16xlarge,512 GiB,64 vCPUs,AWS Graviton2 Processor,15000 GB (4×3750 GB NVMe SSD),37.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8G Metal-24xl,c8g.metal-24xl,192 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,40 Gigabit,$4.8029 hourly,$7.1837 hourly,$5.5478 hourly,unavailable,unavailable
C8GD Quadruple Extra Large,c8gd.4xlarge,32 GiB,16 vCPUs,AWS Graviton4 Processor,950 GB NVMe SSD,Up to 15 Gigabit,$0.9962 hourly,$1.3930 hourly,unavailable,unavailable,unavailable
INF2 Extra Large,inf2.xlarge,16 GiB,4 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 15 Gigabit,$1.1373 hourly,$1.1949 hourly,$0.7741 hourly,unavailable,unavailable
I2 Large,i2.large,15 GiB,2 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge),EBS only,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
IM4GN Eight Extra Large,im4gn.8xlarge,128 GiB,32 vCPUs,AWS Graviton2 Processor,15000 GB (2×7500 GB NVMe SSD),50 Gigabit,$3.4141 hourly,$3.7597 hourly,$2.5438 hourly,unavailable,unavailable
X2GD Quadruple Extra Large,x2gd.4xlarge,256 GiB,16 vCPUs,AWS Graviton2 Processor,950 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,AWS Graviton Processor,EBS only,Up to 10 Gigabit,$0.5140 hourly,$0.6860 hourly,$0.4960 hourly,unavailable,unavailable
IS4GEN Medium,is4gen.medium,6 GiB,1 vCPUs,AWS Graviton2 Processor,937 GB NVMe SSD,Up to 25 Gigabit,$0.1696 hourly,$0.1840 hourly,$0.1302 hourly,unavailable,unavailable
MAC1 Metal,mac1.metal,32 GiB,12 vCPUs,Intel Core i7-8700B CPU,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
MAC2-M2 Metal,mac2-m2.metal,24 GiB,8 vCPUs,Apple M2 Chip,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
